关卡编号,关卡名称,目标时间,生成率倍数,移动速度倍数,高度偏移,管道通过分数,完成奖励,关卡描述,使用关卡道具设置,道具生成概率,道具X轴偏移,使用关卡怪物设置,怪物生成概率,怪物X轴偏移,怪物Y轴偏移,金币产出下限,金币产出上限,产出控制开始比例,产出控制曲线类型
1,关卡1,15,0.5,0.5,1,1,5,第1关,是,0.1,1,是,0,0,0,10,20,0.7,Smooth
2,关卡2,20,0.6,0.52,1,1,10,第2关,是,0.2,1,是,0,0,0,20,40,0.7,Smooth
3,关卡3,25,0.7,0.54,2,2,15,第3关,是,0.3,1,是,0.1,0,0,40,60,0.7,Smooth
4,关卡4,30,0.8,0.56,2,2,20,第4关,是,0.3,1,是,0.12,0,0,60,80,0.7,Smooth
5,关卡5,35,0.9,0.58,3,3,25,第5关,是,0.3,1,是,0.14,0,0,80,100,0.7,Smooth
6,关卡6,40,1,0.6,3,3,30,第6关,是,0.4,1,是,0.16,0,0,100,120,0.7,Smooth
7,关卡7,45,1.1,0.62,4,4,35,第7关,是,0.4,1,是,0.18,0,0,120,140,0.7,Smooth
8,关卡8,50,1.2,0.64,4,4,40,第8关,是,0.4,1,是,0.2,0,0,140,160,0.7,Smooth
9,关卡9,55,1.3,0.66,4,4,45,第9关,是,0.4,1,是,0.22,0,0,160,180,0.7,Smooth
10,关卡10,60,1.4,0.68,5,5,50,第10关,是,0.4,1,是,0.24,0,0,180,200,0.7,Smooth
11,关卡11,60,1.5,0.7,5,5,55,第11关,是,0.4,1,是,0.26,0,0,200,220,0.7,Smooth
12,关卡12,60,1.6,0.72,5,5,60,第12关,是,0.4,1,是,0.28,0,0,220,240,0.7,Smooth
13,关卡13,60,1.7,0.74,5,5,65,第13关,是,0.4,1,是,0.3,0,0,240,260,0.7,Smooth
14,关卡14,60,1.8,0.76,5,5,70,第14关,是,0.4,1,是,0.32,0,0,260,280,0.7,Smooth
15,关卡15,60,1.9,0.78,6,6,75,第15关,是,0.4,1,是,0.34,0,0,280,300,0.7,Smooth
16,关卡16,60,2,0.8,6,6,80,第16关,是,0.4,1,是,0.36,0,0,300,320,0.7,Smooth
17,关卡17,60,2.1,0.82,6,6,85,第17关,是,0.4,1,是,0.38,0,0,320,340,0.7,Smooth
18,关卡18,60,2.2,0.84,6,6,90,第18关,是,0.4,1,是,0.4,0,0,340,360,0.7,Smooth
19,关卡19,60,2.3,0.86,6,6,95,第19关,是,0.4,1,是,0.42,0,0,360,380,0.7,Smooth
20,关卡20,60,2.4,0.88,6,6,100,第20关,是,0.4,1,是,0.44,0,0,380,400,0.7,Smooth
